,condition,file,mean NE position,MSD (pixel),MSD (nm),threshold,MSD (thresholded) (pixel),MSD (thresholded) (nm)
0,WT_,WT_03_movie_bleach-corr_1_reg_kymo_03,19.8917618505102,2.26963498180609,234.226330122389,350.582973844563,1.8856217255477,194.596162076523
0,WT_,WT_03_movie_bleach-corr_1_reg_kymo_04,30.2056073995775,3.00230476507075,309.837851755302,480.173618000809,2.52469171574088,260.548185064459
0,WT_,WT_03_movie_bleach-corr_1_reg_kymo_02,17.2814535784487,2.63124302629548,271.544280313694,418.040513521861,2.04431204349572,210.973002888759
0,WT_,WT_03_movie_bleach-corr_1_reg_kymo_01,17.4898984262369,1.75956037630818,181.586630835004,254.956738938972,1.26668106877583,130.721486297666
