,timepoint,time (s),index range around maximum,values range around maximum,max parabola,deviation (pixel),deviation (nm),threshold (nm),thresholded deviation
0,5.0,0.0,"(23, 24, 25, 26, 27, 28, 29)",[3013 3846 4571 4758 4313 3494 2872],25.87222461405991,-4.333382785517603,-447.20510346541664,480.1736180008088,True
0,6.0,0.25,"(23, 24, 25, 26, 27, 28, 29)",[2978 3735 4594 4841 4220 3490 3005],25.926090239758352,-4.279517159819161,-441.6461708933374,480.1736180008088,True
0,7.0,0.5,"(23, 24, 25, 26, 27, 28, 29)",[2909 3708 4547 4825 4304 3464 2957],25.94671064576651,-4.258896753811001,-439.5181449932953,480.1736180008088,True
0,8.0,0.75,"(23, 24, 25, 26, 27, 28, 29)",[2934 3777 4634 4872 4216 3348 2812],25.85769586318465,-4.347911536392864,-448.70447055574357,480.1736180008088,True
0,9.0,1.0,"(23, 24, 25, 26, 27, 28, 29)",[2940 3771 4522 4720 4178 3396 2776],25.854939024390237,-4.350668375187276,-448.9889763193268,480.1736180008088,True
0,10.0,1.25,"(23, 24, 25, 26, 27, 28, 29)",[2806 3591 4395 4703 4351 3549 2893],26.01205073995771,-4.1935566596198015,-432.7750472727635,480.1736180008088,True
0,11.0,1.5,"(23, 24, 25, 26, 27, 28, 29)",[2692 3425 4273 4648 4267 3545 2949],26.094177547323042,-4.111429852254471,-424.2995607526614,480.1736180008088,True
0,12.0,1.75,"(23, 24, 25, 26, 27, 28, 29)",[2619 3333 4213 4628 4235 3461 2817],26.07843607579756,-4.1271713237799545,-425.92408061409134,480.1736180008088,True
0,13.0,2.0,"(23, 24, 25, 26, 27, 28, 29)",[2648 3291 4223 4802 4471 3702 3017],26.192484526967295,-4.013122872610218,-414.1542804533745,480.1736180008088,True
0,14.0,2.25,"(23, 24, 25, 26, 27, 28, 29)",[2625 3355 4225 4694 4432 3732 3057],26.20722898941054,-3.9983784101669713,-412.63265192923143,480.1736180008088,True
0,15.0,2.5,"(23, 24, 25, 26, 27, 28, 29)",[2603 3309 4076 4589 4382 3739 3153],26.282541806020063,-3.9230655935574497,-404.86036925512883,480.1736180008088,True
0,16.0,2.75,"(23, 24, 25, 26, 27, 28, 29)",[2626 3262 3973 4447 4236 3643 3134],26.28082996694822,-3.9247774326292912,-405.03703104734285,480.1736180008088,True
0,17.0,3.0,"(23, 24, 25, 26, 27, 28, 29)",[2545 3074 3793 4474 4392 3692 3034],26.340272052761755,-3.8653353468157583,-398.90260779138623,480.1736180008088,True
0,18.0,3.25,"(24, 25, 26, 27, 28, 29, 30)",[3023 3771 4460 4518 3927 3125 2640],26.70096527684714,-3.504642122730374,-361.6790670657746,480.1736180008088,True
0,19.0,3.5,"(24, 25, 26, 27, 28, 29, 30)",[3066 3832 4576 4648 4064 3307 2694],26.744335539715248,-3.461271859862265,-357.20325593778574,480.1736180008088,True
0,20.0,3.75,"(24, 25, 26, 27, 28, 29, 30)",[3020 3774 4498 4602 4141 3442 2819],26.838995373430656,-3.366612026146857,-347.4343610983556,480.1736180008088,True
0,21.0,4.0,"(24, 25, 26, 27, 28, 29, 30)",[3233 3988 4645 4711 4128 3348 2759],26.68239821087981,-3.5232091886977024,-363.5951882736029,480.1736180008088,True
0,22.0,4.25,"(23, 24, 25, 26, 27, 28, 29)",[2609 3194 3932 4540 4539 3966 3224],26.41601887840089,-3.789588521176622,-391.0855353854274,480.1736180008088,True
0,23.0,4.5,"(23, 24, 25, 26, 27, 28, 29)",[2613 3206 3879 4457 4453 3940 3384],26.508801308513135,-3.696806091064378,-381.5103885978438,480.1736180008088,True
0,24.0,4.75,"(24, 25, 26, 27, 28, 29, 30)",[3201 3916 4574 4640 4097 3471 3041],26.792673800793615,-3.412933598783898,-352.21474739449826,480.1736180008088,True
0,25.0,5.0,"(23, 24, 25, 26, 27, 28, 29)",[2592 3210 4047 4668 4630 4092 3420],26.494878098750263,-3.71072930082725,-382.9472638453722,480.1736180008088,True
0,26.0,5.25,"(24, 25, 26, 27, 28, 29, 30)",[3077 3862 4700 4945 4371 3636 3114],26.9373363262256,-3.2682710733519116,-337.2855747699173,480.1736180008088,True
0,27.0,5.5,"(24, 25, 26, 27, 28, 29, 30)",[3000 3762 4560 4745 4293 3604 3127],26.979669887278977,-3.225937512298536,-332.91675126920893,480.1736180008088,True
0,28.0,5.75,"(24, 25, 26, 27, 28, 29, 30)",[2957 3748 4573 4858 4414 3702 3314],27.08179279159504,-3.1238146079824745,-322.3776675437914,480.1736180008088,True
0,29.0,6.0,"(24, 25, 26, 27, 28, 29, 30)",[2891 3658 4518 4776 4411 3943 3650],27.31169422114405,-2.8939131784334613,-298.6518400143332,480.1736180008088,True
0,30.0,6.25,"(24, 25, 26, 27, 28, 29, 30)",[2744 3495 4393 4856 4608 3991 3574],27.373761542091138,-2.8318458574863747,-292.24649249259386,480.1736180008088,True
0,31.0,6.5,"(24, 25, 26, 27, 28, 29, 30)",[2558 3246 4190 4794 4684 4036 3458],27.455592314544262,-2.750015085033251,-283.8015567754315,480.1736180008088,True
0,32.0,6.75,"(24, 25, 26, 27, 28, 29, 30)",[2560 3173 3954 4610 4600 4003 3405],27.508615255306154,-2.696992144271359,-278.32958928880424,480.1736180008088,True
0,33.0,7.0,"(24, 25, 26, 27, 28, 29, 30)",[2675 3251 4141 4841 4816 4108 3386],27.42580037664827,-2.779807022929244,-286.876084766298,480.1736180008088,True
0,34.0,7.25,"(25, 26, 27, 28, 29, 30, 31)",[3106 3899 4578 4672 3976 3135 2628],27.65905612244922,-2.5465512771282945,-262.80409179964,480.1736180008088,True
0,35.0,7.5,"(25, 26, 27, 28, 29, 30, 31)",[3037 3882 4675 4720 4110 3480 2924],27.833959818535575,-2.3716475810419375,-244.75403036352793,480.1736180008088,True
0,36.0,7.75,"(25, 26, 27, 28, 29, 30, 31)",[2936 3648 4348 4572 4170 3665 3085],28.03308582659995,-2.172521572977562,-224.2042263312844,480.1736180008088,True
0,37.0,8.0,"(25, 26, 27, 28, 29, 30, 31)",[2902 3561 4199 4536 4232 3539 2947],28.013105975197554,-2.1925014243799588,-226.26614699601174,480.1736180008088,True
0,38.0,8.25,"(25, 26, 27, 28, 29, 30, 31)",[2854 3561 4369 4646 4184 3417 2691],27.912640755539666,-2.292966644037847,-236.6341576647058,480.1736180008088,True
0,39.0,8.5,"(25, 26, 27, 28, 29, 30, 31)",[2850 3418 4077 4384 4077 3530 2941],28.057157095760438,-2.148450303817075,-221.72007135392212,480.1736180008088,True
0,40.0,8.75,"(25, 26, 27, 28, 29, 30, 31)",[2792 3378 3904 4155 3983 3486 2973],28.10972416201143,-2.095883237566081,-216.29515011681957,480.1736180008088,True
