,timepoint,time (s),index range around maximum,values range around maximum,max parabola,deviation (pixel),deviation (nm),threshold (nm),thresholded deviation
0,5.0,0.0,"(12, 13, 14, 15, 16, 17, 18)",[2999 4352 6057 6287 4431 2733 2030],14.629564305462871,-2.860334120774027,-295.1864812638796,254.95673893897225,False
0,6.0,0.25,"(12, 13, 14, 15, 16, 17, 18)",[2999 4296 6028 6375 4400 2727 2112],14.643264273591864,-2.8466341526450343,-293.7726445529675,254.95673893897225,False
0,7.0,0.5,"(12, 13, 14, 15, 16, 17, 18)",[2934 4228 5939 6628 4629 2841 2170],14.70748715439198,-2.782411271844918,-287.14484325439554,254.95673893897225,False
0,8.0,0.75,"(12, 13, 14, 15, 16, 17, 18)",[2927 4116 5818 6143 4548 2961 2141],14.706330365974294,-2.7835680602626045,-287.2642238191008,254.95673893897225,False
0,9.0,1.0,"(12, 13, 14, 15, 16, 17, 18)",[3065 3969 5285 6055 4623 3063 2291],14.73516418789575,-2.7547342383411486,-284.2885733968065,254.95673893897225,False
0,10.0,1.25,"(12, 13, 14, 15, 16, 17, 18)",[2827 3722 5342 6066 4457 3014 2336],14.7967032967033,-2.693195129533599,-277.93773736786744,254.95673893897225,False
0,11.0,1.5,"(12, 13, 14, 15, 16, 17, 18)",[2764 3706 5251 6174 4805 3087 2292],14.842820443482971,-2.6470779827539275,-273.17844782020535,254.95673893897225,False
0,12.0,1.75,"(12, 13, 14, 15, 16, 17, 18)",[2732 3630 5141 6069 4752 3055 2353],14.85930599369086,-2.630592432546038,-271.47713903875115,254.95673893897225,False
0,13.0,2.0,"(12, 13, 14, 15, 16, 17, 18)",[2616 3390 4936 6363 5129 3174 2333],14.947187884279339,-2.5427105419575593,-262.4077279300201,254.95673893897225,False
0,14.0,2.25,"(12, 13, 14, 15, 16, 17, 18)",[2802 3597 5213 6572 5590 3398 2229],14.922187108699541,-2.5677113175373574,-264.9878079698553,254.95673893897225,False
0,15.0,2.5,"(12, 13, 14, 15, 16, 17, 18)",[2558 3382 4996 6545 5795 3452 2104],14.981996424821954,-2.5079020014149442,-258.81548654602227,254.95673893897225,False
0,16.0,2.75,"(12, 13, 14, 15, 16, 17, 18)",[2592 3167 4614 6234 5920 3890 2478],15.115909965371296,-2.3739884608656023,-244.99560916133018,254.95673893897225,True
