,timepoint,time (s),index range around maximum,values range around maximum,max parabola,deviation (pixel),deviation (nm),threshold (nm),thresholded deviation
0,5.0,0.0,"(20, 21, 22, 23, 24, 25, 26)",[2746 3682 4388 4718 4127 3124 2318],22.79098811331622,2.8992262628060423,299.2001503215836,350.58297384456284,True
0,6.0,0.25,"(20, 21, 22, 23, 24, 25, 26)",[2488 3430 4166 4560 4237 3296 2348],22.951969484664485,3.060207634154306,315.8134278447244,350.58297384456284,True
0,7.0,0.5,"(20, 21, 22, 23, 24, 25, 26)",[2229 3118 3993 4375 4243 3483 2513],23.148556600713583,3.2567947502034045,336.1012182209913,350.58297384456284,True
0,8.0,0.75,"(20, 21, 22, 23, 24, 25, 26)",[2465 3362 4097 4344 4011 3120 2234],22.895935182642134,3.0041733321319555,310.0306878760178,350.58297384456284,True
0,9.0,1.0,"(20, 21, 22, 23, 24, 25, 26)",[2718 3611 4251 4413 3806 3043 2128],22.714289774342063,2.8225279238318848,291.2848817394505,350.58297384456284,True
0,10.0,1.25,"(20, 21, 22, 23, 24, 25, 26)",[2723 3609 4261 4453 3920 2949 2035],22.699030433611632,2.807268583101454,289.71011777607004,350.58297384456284,True
0,11.0,1.5,"(20, 21, 22, 23, 24, 25, 26)",[2594 3457 4137 4373 3934 3135 2165],22.821273031825793,2.9295111813156147,302.32555391177146,350.58297384456284,True
0,12.0,1.75,"(20, 21, 22, 23, 24, 25, 26)",[2543 3366 4051 4266 4135 3351 2275],22.93583162217659,3.044069771666411,314.14800043597364,350.58297384456284,True
0,13.0,2.0,"(20, 21, 22, 23, 24, 25, 26)",[2423 3234 3930 4242 4109 3436 2339],23.028740955137476,3.1369791046272972,323.73624359753705,350.58297384456284,True
0,14.0,2.25,"(20, 21, 22, 23, 24, 25, 26)",[2524 3301 4133 4627 4298 3383 2279],22.969220661073486,3.077458810563307,317.59374925013327,350.58297384456284,True
0,15.0,2.5,"(20, 21, 22, 23, 24, 25, 26)",[2573 3389 4194 4478 4156 3217 2189],22.87985588972431,2.9880940392141326,308.3713048468985,350.58297384456284,True
0,16.0,2.75,"(20, 21, 22, 23, 24, 25, 26)",[2643 3525 4253 4486 4029 3010 2079],22.76960375391032,2.8778419034001423,296.9932844308947,350.58297384456284,True
0,17.0,3.0,"(20, 21, 22, 23, 24, 25, 26)",[2531 3405 4120 4338 3900 2954 2049],22.7919187554019,2.9001569048917197,299.29619258482546,350.58297384456284,True
0,18.0,3.25,"(20, 21, 22, 23, 24, 25, 26)",[2750 3655 4380 4424 3836 2680 1822],22.59366659823445,2.701904747724271,278.83656996514475,350.58297384456284,True
0,19.0,3.5,"(19, 20, 21, 22, 23, 24, 25)",[2081 2921 3793 4366 4349 3685 2577],22.28806451612903,2.396302665618851,247.29843509186543,350.58297384456284,True
0,20.0,3.75,"(19, 20, 21, 22, 23, 24, 25)",[2152 2969 3879 4550 4483 3584 2492],22.21334595833748,2.3215841078273023,239.5874799277776,350.58297384456284,True
0,21.0,4.0,"(20, 21, 22, 23, 24, 25, 26)",[2673 3453 4119 4424 4010 2912 1872],22.72151048662052,2.8297486361103417,292.03005924658726,350.58297384456284,True
0,22.0,4.25,"(20, 21, 22, 23, 24, 25, 26)",[2676 3409 3951 4307 3951 2956 2016],22.752260501316233,2.860498650806054,295.20346076318475,350.58297384456284,True
0,23.0,4.5,"(20, 21, 22, 23, 24, 25, 26)",[2742 3586 4266 4421 3829 2769 2043],22.65351363334072,2.7617517828305402,285.0127839881118,350.58297384456284,True
0,24.0,4.75,"(20, 21, 22, 23, 24, 25, 26)",[2539 3392 4243 4491 3891 2977 2045],22.79450786794199,2.902746017431813,299.56338899896315,350.58297384456284,True
0,25.0,5.0,"(20, 21, 22, 23, 24, 25, 26)",[2873 3602 4246 4460 3816 2969 2092],22.647782105691533,2.7560202551813546,284.4212903347158,350.58297384456284,True
0,26.0,5.25,"(20, 21, 22, 23, 24, 25, 26)",[2870 3757 4397 4443 3927 3053 2123],22.652483266775402,2.7607214162652234,284.9064501585711,350.58297384456284,True
0,27.0,5.5,"(20, 21, 22, 23, 24, 25, 26)",[2946 3773 4349 4474 3837 2923 2043],22.57841681420983,2.6866549636996524,277.26279225380415,350.58297384456284,True
0,28.0,5.75,"(20, 21, 22, 23, 24, 25, 26)",[2871 3639 4308 4390 3858 2941 1950],22.614911156909713,2.7231493063995345,281.0290084204319,350.58297384456284,True
0,29.0,6.0,"(20, 21, 22, 23, 24, 25, 26)",[2744 3467 4217 4466 3844 2900 1980],22.69075269984262,2.7989908493324407,288.8558556511079,350.58297384456284,True
0,30.0,6.25,"(20, 21, 22, 23, 24, 25, 26)",[2617 3408 4169 4441 3941 3061 1979],22.777440619441247,2.8856787689310686,297.80204895368627,350.58297384456284,True
0,31.0,6.5,"(20, 21, 22, 23, 24, 25, 26)",[2677 3598 4329 4479 3946 2933 1959],22.70346608046623,2.811704229956053,290.1678765314647,350.58297384456284,True
0,32.0,6.75,"(20, 21, 22, 23, 24, 25, 26)",[2745 3599 4319 4476 3971 2871 1878],22.663894399511673,2.772132549001494,286.08407905695424,350.58297384456284,True
0,33.0,7.0,"(20, 21, 22, 23, 24, 25, 26)",[2787 3584 4233 4268 3709 2607 1724],22.536580711988226,2.644818861478047,272.94530650453447,350.58297384456284,True
0,34.0,7.25,"(20, 21, 22, 23, 24, 25, 26)",[2695 3435 4161 4426 3974 2877 1954],22.719624681933833,2.827862831423655,291.83544420292117,350.58297384456284,True
0,35.0,7.5,"(20, 21, 22, 23, 24, 25, 26)",[2703 3720 4530 4550 3806 2727 1871],22.616038941882188,2.7242770913720094,281.14539582959134,350.58297384456284,True
0,36.0,7.75,"(20, 21, 22, 23, 24, 25, 26)",[2808 3764 4541 4616 3721 2591 1709],22.53087345753689,2.639111607026713,272.3563178451568,350.58297384456284,True
0,37.0,8.0,"(19, 20, 21, 22, 23, 24, 25)",[2009 2731 3678 4465 4440 3567 2585],22.324412803990853,2.4326509534806746,251.04957839920561,350.58297384456284,True
0,38.0,8.25,"(19, 20, 21, 22, 23, 24, 25)",[2169 2949 3785 4352 4248 3624 2624],22.271747805267363,2.379985954757185,245.61455053094147,350.58297384456284,True
0,39.0,8.5,"(19, 20, 21, 22, 23, 24, 25)",[2067 2842 3816 4458 4411 3653 2601],22.29877953371929,2.407017683209112,248.40422490718038,350.58297384456284,True
0,40.0,8.75,"(20, 21, 22, 23, 24, 25, 26)",[2754 3649 4365 4482 3765 2711 1885],22.601291638341262,2.709529787831084,279.6234741041678,350.58297384456284,True
